miRNA_ID,mesh_similarity,doid_similarity,num_sources_mesh,num_sources_doid,mesh_disease_count,doid_disease_count,mesh_max_jaccard,doid_max_jaccard,mesh_jaccard_std,doid_jaccard_std,inter_ontology_agreement
hsa-mir-1303,0.005128205128205128,0.0,3,3,15,15,0.07692307692307693,0.0,0.019187986598840728,0.0,0.9948717948717949
hsa-mir-499a,0.003430531732418525,0.0,2,2,53,44,0.03773584905660377,0.0,0.010848293859925829,0.0,0.9965694682675815
hsa-mir-552,0.012396694214876032,0.0033333333333333335,2,3,22,21,0.13636363636363635,0.05,0.039201789175641065,0.012472191289246473,0.9909366391184573
hsa-mir-496,0.0024154589371980675,0.0022222222222222222,4,4,26,27,0.043478260869565216,0.04,0.009959192332409808,0.009162456945817023,0.9998067632850242
hsa-mir-187,0.012087912087912088,0.012031024531024531,3,3,53,48,0.14285714285714285,0.09523809523809523,0.036235975610303964,0.02747349078804102,0.9999431124431124
hsa-mir-1271,0.022435804788745965,0.013174603174603174,3,3,37,35,0.21621621621621623,0.11428571428571428,0.056761775177847966,0.03406084399239729,0.9907387983858572
hsa-mir-619,0.0047619047619047615,0.0,3,3,29,29,0.07142857142857142,0.0,0.017817416127494958,0.0,0.9952380952380953
hsa-mir-590,0.00321285140562249,0.0040120663650075414,3,3,84,68,0.04819277108433735,0.03076923076923077,0.01202138919445443,0.01023180439442295,0.9992007850406149
hsa-mir-1292,0.0,0.0,2,2,9,9,0.0,0.0,0.0,0.0,1.0
hsa-mir-638,0.021407538938026743,0.03211692084241104,4,4,49,41,0.15384615384615385,0.16666666666666666,0.041080328372111556,0.050173280360527234,0.9892906180956157
hsa-mir-1266,0.012121212121212121,0.006666666666666667,3,3,12,11,0.18181818181818182,0.1,0.04535342286998717,0.024944382578492946,0.9945454545454545
hsa-mir-491,0.008130081300813007,0.003508771929824561,3,3,42,40,0.07317073170731707,0.02631578947368421,0.021200658228301295,0.008945648269461025,0.9953786906290115
